Date,Port Kembla (TP1),Port Kembla (Tz)
2021-06-26 00:00:00,12.930,5.890
2021-06-26 01:00:00,11.450,6.150
2021-06-26 02:00:00,12.140,6.790
2021-06-26 03:00:00,12.140,6.410
2021-06-26 04:00:00,12.140,7.250
2021-06-26 05:00:00,11.450,6.830
2021-06-26 06:00:00,12.140,5.070
2021-06-26 07:00:00,11.450,5.770
2021-06-26 08:00:00,12.140,5.420
2021-06-26 09:00:00,16.040,5.270
2021-06-26 10:00:00,16.040,5.120
2021-06-26 11:00:00,12.930,4.590
2021-06-26 12:00:00,16.040,4.650
2021-06-26 13:00:00,12.140,4.570
2021-06-26 14:00:00,12.930,4.320
2021-06-26 15:00:00,16.040,4.550
2021-06-26 16:00:00,14.850,4.510
2021-06-26 17:00:00,14.850,4.700
2021-06-26 18:00:00,11.450,4.480
2021-06-26 19:00:00,14.850,4.150
2021-06-26 20:00:00,12.930,4.240
2021-06-26 21:00:00,16.040,4.100
2021-06-26 22:00:00,13.820,4.520
2021-06-26 23:00:00,11.450,4.350
2021-06-27 00:00:00,12.930,5.000
2021-06-27 01:00:00,10.270,4.450
2021-06-27 02:00:00,10.270,5.070
2021-06-27 03:00:00,11.450,5.230
2021-06-27 04:00:00,11.450,5.040
2021-06-27 05:00:00,10.270,5.190
2021-06-27 06:00:00,12.930,4.830
2021-06-27 07:00:00,12.930,6.070
2021-06-27 08:00:00,14.850,6.110
2021-06-27 09:00:00,13.820,6.390
2021-06-27 10:00:00,13.820,6.450
2021-06-27 11:00:00,12.140,6.950
2021-06-27 12:00:00,12.140,7.110
2021-06-27 13:00:00,9.770,6.990
2021-06-27 14:00:00,10.830,7.230
2021-06-27 15:00:00,10.830,6.610
2021-06-27 16:00:00,13.820,6.930
2021-06-27 17:00:00,12.140,6.930
2021-06-27 18:00:00,14.850,6.650
2021-06-27 19:00:00,14.850,6.570
2021-06-27 20:00:00,14.850,6.200
2021-06-27 21:00:00,12.930,6.590
2021-06-27 22:00:00,14.850,6.380
2021-06-27 23:00:00,13.820,6.930
2021-06-28 00:00:00,13.820,6.630
2021-06-28 01:00:00,13.820,7.040
2021-06-28 02:00:00,13.820,6.730
2021-06-28 03:00:00,14.850,6.770
2021-06-28 04:00:00,13.820,6.520
2021-06-28 05:00:00,14.850,5.640
2021-06-28 06:00:00,14.850,5.350
2021-06-28 07:00:00,12.930,5.800
2021-06-28 08:00:00,10.270,5.720
2021-06-28 09:00:00,5.640,5.270
2021-06-28 10:00:00,6.790,5.240
2021-06-28 11:00:00,6.790,5.370
2021-06-28 12:00:00,6.790,5.430
2021-06-28 13:00:00,6.160,5.230
2021-06-28 14:00:00,10.830,5.150
2021-06-28 15:00:00,12.930,5.200
2021-06-28 16:00:00,13.820,5.130
2021-06-28 17:00:00,10.270,5.020
2021-06-28 18:00:00,12.930,5.340
2021-06-28 19:00:00,12.930,5.460
2021-06-28 20:00:00,12.930,5.640
2021-06-28 21:00:00,12.930,5.510
2021-06-28 22:00:00,12.930,5.540
2021-06-28 23:00:00,12.930,5.560
2021-06-29 00:00:00,12.140,6.030
2021-06-29 01:00:00,12.930,6.360
2021-06-29 02:00:00,12.930,6.510
2021-06-29 03:00:00,12.930,6.560
2021-06-29 04:00:00,12.930,6.540
2021-06-29 05:00:00,14.850,6.470
2021-06-29 06:00:00,13.820,6.730
2021-06-29 07:00:00,14.850,6.490
2021-06-29 08:00:00,13.820,6.680
2021-06-29 09:00:00,14.850,6.770
2021-06-29 10:00:00,13.820,6.980
2021-06-29 11:00:00,13.820,7.020
2021-06-29 12:00:00,12.140,7.110
2021-06-29 13:00:00,13.820,7.200
2021-06-29 14:00:00,13.820,7.090
2021-06-29 15:00:00,16.040,7.180
2021-06-29 16:00:00,14.850,7.040
2021-06-29 17:00:00,16.040,6.860
2021-06-29 18:00:00,14.850,7.370
2021-06-29 19:00:00,13.820,6.640
2021-06-29 20:00:00,14.850,6.290
2021-06-29 21:00:00,16.040,6.980
2021-06-29 22:00:00,12.140,6.620
2021-06-29 23:00:00,14.850,6.470
2021-06-30 00:00:00,14.850,6.660
2021-06-30 01:00:00,13.820,6.590
2021-06-30 02:00:00,12.930,6.870
2021-06-30 03:00:00,13.820,6.570
2021-06-30 04:00:00,13.820,7.230
2021-06-30 05:00:00,12.140,7.020
2021-06-30 06:00:00,13.820,7.220
2021-06-30 07:00:00,12.930,7.480
2021-06-30 08:00:00,10.830,7.340
2021-06-30 09:00:00,12.930,7.340
2021-06-30 10:00:00,12.930,7.300
2021-06-30 11:00:00,12.930,7.580
2021-06-30 12:00:00,12.930,7.120
