Date,Princess Jetty (Forecast Tide),Princess Jetty (Level 1),Princess Jetty (Residual)
2021-07-07 10:00:00,-0.042,-0.023,0.019
2021-07-07 10:15:00,-0.077,-0.065,0.012
2021-07-07 10:30:00,-0.111,-0.129,-0.018
2021-07-07 10:45:00,-0.141,-0.134,0.007
2021-07-07 11:00:00,-0.168,-0.182,-0.014
2021-07-07 11:15:00,-0.190,-0.184,0.006
2021-07-07 11:30:00,-0.208,-0.221,-0.013
2021-07-07 11:45:00,-0.221,-0.244,-0.023
2021-07-07 12:00:00,-0.228,-0.243,-0.015
2021-07-07 12:15:00,-0.229,-0.232,-0.003
2021-07-07 12:30:00,-0.224,-0.258,-0.034
2021-07-07 12:45:00,-0.213,-0.228,-0.015
2021-07-07 13:00:00,-0.196,-0.200,-0.004
2021-07-07 13:15:00,-0.173,-0.186,-0.013
2021-07-07 13:30:00,-0.145,-0.182,-0.037
2021-07-07 13:45:00,-0.111,-0.129,-0.018
2021-07-07 14:00:00,-0.073,-0.062,0.011
2021-07-07 14:15:00,-0.030,-0.052,-0.022
2021-07-07 14:30:00,0.017,-0.027,-0.044
2021-07-07 14:45:00,0.066,0.047,-0.019
2021-07-07 15:00:00,0.119,0.111,-0.008
2021-07-07 15:15:00,0.173,0.131,-0.042
2021-07-07 15:30:00,0.229,0.201,-0.028
2021-07-07 15:45:00,0.284,0.289,0.005
2021-07-07 16:00:00,0.339,0.324,-0.015
2021-07-07 16:15:00,0.392,0.356,-0.036
2021-07-07 16:30:00,0.444,0.451,0.007
2021-07-07 16:45:00,0.492,0.502,0.010
2021-07-07 17:00:00,0.537,0.519,-0.018
2021-07-07 17:15:00,0.577,0.592,0.015
2021-07-07 17:30:00,0.614,0.603,-0.011
2021-07-07 17:45:00,0.644,0.651,0.007
2021-07-07 18:00:00,0.670,0.680,0.010
2021-07-07 18:15:00,0.689,0.724,0.035
2021-07-07 18:30:00,0.701,0.740,0.039
2021-07-07 18:45:00,0.706,0.730,0.024
2021-07-07 19:00:00,0.703,0.739,0.036
2021-07-07 19:15:00,0.693,0.765,0.072
2021-07-07 19:30:00,0.676,0.734,0.058
2021-07-07 19:45:00,0.651,0.664,0.013
2021-07-07 20:00:00,0.619,0.658,0.039
2021-07-07 20:15:00,0.580,0.638,0.058
2021-07-07 20:30:00,0.536,0.588,0.052
2021-07-07 20:45:00,0.487,0.506,0.019
2021-07-07 21:00:00,0.434,0.449,0.015
2021-07-07 21:15:00,0.377,0.447,0.070
2021-07-07 21:30:00,0.319,0.383,0.064
2021-07-07 21:45:00,0.259,0.281,0.022
2021-07-07 22:00:00,0.198,0.232,0.034
2021-07-07 22:15:00,0.137,0.168,0.031
2021-07-07 22:30:00,0.077,0.132,0.055
2021-07-07 22:45:00,0.018,0.059,0.041
2021-07-07 23:00:00,-0.039,-0.019,0.020
2021-07-07 23:15:00,-0.093,-0.071,0.022
2021-07-07 23:30:00,-0.144,-0.092,0.052
2021-07-07 23:45:00,-0.192,-0.187,0.005
2021-07-08 00:00:00,-0.235,-0.206,0.029
2021-07-08 00:15:00,-0.274,-0.260,0.014
2021-07-08 00:30:00,-0.307,-0.305,0.002
2021-07-08 00:45:00,-0.335,-0.334,0.001
2021-07-08 01:00:00,-0.357,-0.340,0.017
2021-07-08 01:15:00,-0.372,-0.386,-0.014
2021-07-08 01:30:00,-0.381,-0.406,-0.025
2021-07-08 01:45:00,-0.383,-0.408,-0.025
2021-07-08 02:00:00,-0.379,-0.365,0.014
2021-07-08 02:15:00,-0.368,-0.391,-0.023
2021-07-08 02:30:00,-0.350,-0.388,-0.038
2021-07-08 02:45:00,-0.327,-0.339,-0.012
2021-07-08 03:00:00,-0.298,-0.268,0.030
2021-07-08 03:15:00,-0.264,-0.295,-0.031
2021-07-08 03:30:00,-0.226,-0.242,-0.016
2021-07-08 03:45:00,-0.185,-0.165,0.020
2021-07-08 04:00:00,-0.141,-0.145,-0.004
2021-07-08 04:15:00,-0.095,-0.109,-0.014
2021-07-08 04:30:00,-0.049,-0.053,-0.004
2021-07-08 04:45:00,-0.003,0.011,0.014
2021-07-08 05:00:00,0.043,0.027,-0.016
2021-07-08 05:15:00,0.087,0.104,0.017
2021-07-08 05:30:00,0.130,0.142,0.012
