date,Time(UTC+10:00),Temperature(°C),Apparent Temp(°C),Dew Point(C),Rel. Humid.(%),Δ T(C),Wind(km/h)/(kt),Gust(km/h)/(kt),WindDir.,Rain Since 9am(mm),MSLP(hPa),GFDI
2021-07-08 15:50:00,15:50,13.3,9.0,7.9,70,2.7,11,12,NE,0.0,4,
2021-07-08 15:40:00,15:40,13.3,9.2,7.7,69,2.7,10,11,NE,0.0,4,
2021-07-08 15:30:00,15:30,13.3,9.1,8.2,71,2.5,11,14,NNE,0.0,1019.7,4
2021-07-08 15:20:00,15:20,13.4,8.4,8.0,70,2.7,13,14,NNE,0.0,6,
2021-07-08 15:10:00,15:10,13.5,8.8,7.7,68,2.9,12,14,NNE,0.0,5,
2021-07-08 15:00:00,15:00,13.5,8.8,7.9,69,2.8,12,15,NNE,0.0,1019.7,5
2021-07-08 14:50:00,14:50,13.4,8.3,7.6,68,2.8,13,14,NNE,0.0,6,
2021-07-08 14:40:00,14:40,13.8,9.1,7.7,66,3.0,12,13,NNE,0.0,5,
2021-07-08 14:30:00,14:30,13.9,9.9,8.3,69,2.8,10,13,NE,0.0,1019.6,4
2021-07-08 14:20:00,14:20,13.9,9.9,8.3,69,2.8,10,12,NE,0.0,4,
2021-07-08 14:10:00,14:10,14.1,10.5,8.5,69,2.8,9,11,NE,0.0,4,
2021-07-08 14:00:00,14:00,13.8,9.6,8.4,70,2.7,11,14,NE,0.0,1019.8,4
2021-07-08 13:50:00,13:50,13.8,9.3,8.6,71,2.6,12,13,NE,0.0,5,
2021-07-08 13:40:00,13:40,13.7,9.6,8.5,71,2.6,11,13,NNE,0.0,4,
2021-07-08 13:30:00,13:30,13.9,10.2,9.3,74,2.3,10,15,NE,0.0,1020.1,4
2021-07-08 13:20:00,13:20,13.7,9.8,8.7,72,2.5,10,12,NE,0.0,4,
2021-07-08 13:10:00,13:10,13.8,10.5,9.4,75,2.2,9,10,NE,0.0,3,
2021-07-08 13:00:00,13:00,13.3,9.2,8.8,74,2.3,11,13,NE,0.0,1020.8,4
2021-07-08 12:50:00,12:50,13.1,9.1,8.3,72,2.4,10,12,NE,0.0,4,
2021-07-08 12:40:00,12:40,13.3,9.4,8.5,72,2.4,10,11,NE,0.0,4,
2021-07-08 12:30:00,12:30,12.9,9.3,8.2,73,2.3,9,13,NE,0.0,1021.3,3
2021-07-08 12:20:00,12:20,12.8,9.2,8.2,73,2.3,9,10,NNE,0.0,3,
2021-07-08 12:10:00,12:10,12.6,9.6,7.9,73,2.3,7,9,NNE,0.0,2,
