date,Time(UTC+10:00),Temperature(°C),Apparent Temp(°C),Dew Point(C),Rel. Humid.(%),Δ T(C),Wind(km/h)/(kt),Gust(km/h)/(kt),WindDir.,Rain Since 9am(mm),MSLP(hPa),GFDI
2021-07-01 17:50:00,17:50,13.4,14.0,11.8,90,0.9,0,0,W,0.0,1021.5,0
2021-07-01 17:40:00,17:40,13.6,14.2,12.0,90,0.9,0,0,W,0.0,1021.3,0
2021-07-01 17:30:00,17:30,13.9,14.6,12.1,89,1.0,0,0,W,0.0,1021.3,0
2021-07-01 17:20:00,17:20,13.9,14.6,12.1,89,1.0,0,0,W,0.0,1021.3,0
2021-07-01 17:10:00,17:10,14.2,13.6,12.2,88,1.1,4,4,N,0.0,1021.4,1
2021-07-01 17:00:00,17:00,14.5,14.5,12.4,87,1.1,2,3,NNE,0.0,1021.3,1
2021-07-01 16:50:00,16:50,14.9,14.4,12.2,84,1.5,3,3,NNE,0.0,1021.4,1
2021-07-01 16:40:00,16:40,15.2,14.7,12.1,82,1.7,3,3,NNE,0.0,1021.5,1
2021-07-01 16:30:00,16:30,15.6,15.1,12.0,79,1.9,3,5,NE,0.0,1021.4,1
2021-07-01 16:20:00,16:20,15.9,15.5,12.3,79,2.0,3,4,NE,0.0,1021.3,1
2021-07-01 16:10:00,16:10,15.9,14.8,12.1,78,2.1,5,6,ENE,0.0,1021.3,2
2021-07-01 16:00:00,16:00,16.1,14.7,12.3,78,2.1,6,7,ENE,0.0,1021.3,2
2021-07-01 15:50:00,15:50,16.1,14.7,12.1,77,2.2,6,6,ENE,0.0,1021.3,2
2021-07-01 15:40:00,15:40,16.1,14.6,11.9,76,2.3,6,7,ENE,0.0,1021.3,2
2021-07-01 15:30:00,15:30,16.2,15.2,12.2,77,2.2,5,7,ENE,0.0,1021.3,2
2021-07-01 15:20:00,15:20,16.1,15.0,11.9,76,2.3,5,5,E,0.0,1021.4,2
2021-07-01 15:10:00,15:10,16.2,14.9,12.4,78,2.1,6,7,E,0.0,1021.4,2
2021-07-01 15:00:00,15:00,16.1,15.0,12.1,77,2.2,5,6,ENE,0.0,1021.4,2
2021-07-01 14:50:00,14:50,16.2,15.2,12.2,77,2.2,5,6,ENE,0.0,1021.4,2
2021-07-01 14:40:00,14:40,16.1,14.2,11.9,76,2.3,7,8,ENE,0.0,1021.5,3
2021-07-01 14:30:00,14:30,16.2,14.7,12.0,76,2.3,6,7,ENE,0.0,1021.6,2
2021-07-01 14:20:00,14:20,16.2,15.1,11.8,75,2.4,5,6,ENE,0.0,1021.8,2
2021-07-01 14:10:00,14:10,16.1,15.2,11.5,74,2.5,4,5,ENE,0.0,1021.7,1
2021-07-01 14:00:00,14:00,16.1,14.8,11.3,73,2.6,5,6,E,0.0,1021.6,2
2021-07-01 13:50:00,13:50,16.2,14.4,10.9,71,2.8,6,7,ENE,0.0,1021.7,2
2021-07-01 13:40:00,13:40,16.8,15.1,11.1,69,3.1,6,6,ENE,0.0,1021.9,2
2021-07-01 13:30:00,13:30,16.9,15.5,11.0,68,3.2,5,7,NE,0.0,1022.0,2
2021-07-01 13:20:00,13:20,16.5,15.1,11.0,70,2.9,5,5,NE,0.0,1021.9,2
2021-07-01 13:10:00,13:10,16.2,15.1,12.0,76,2.3,5,6,E,0.0,1022.1,2
2021-07-01 13:00:00,13:00,16.1,15.0,11.9,76,2.3,5,6,ENE,0.0,1022.4,2
2021-07-01 12:50:00,12:50,15.8,14.7,11.8,77,2.2,5,5,ENE,0.0,1022.5,2
2021-07-01 12:40:00,12:40,15.5,14.7,11.7,78,2.0,4,5,E,0.0,1022.6,1
2021-07-01 12:30:00,12:30,15.3,15.0,11.3,77,2.1,2,5,E,0.0,1022.7,1
2021-07-01 12:20:00,12:20,15.3,15.8,11.5,78,2.0,0,1,N,0.0,1022.9,0
2021-07-01 12:10:00,12:10,15.4,16.0,12.0,80,1.8,0,0,W,0.0,1023.1,0
2021-07-01 12:00:00,12:00,15.4,14.8,11.8,79,1.9,3,5,E,0.0,1023.3,1
2021-07-01 11:50:00,11:50,15.5,14.8,11.9,79,1.9,4,5,E,0.0,1023.5,1
2021-07-01 11:40:00,11:40,15.2,14.4,11.6,79,1.9,4,4,SSW,0.0,1023.6,1
2021-07-01 11:30:00,11:30,14.8,14.2,11.8,82,1.6,3,5,SW,0.0,1023.6,1
2021-07-01 11:20:00,11:20,14.2,13.5,11.5,84,1.4,3,4,SSW,0.0,1023.8,1
2021-07-01 11:10:00,11:10,14.1,13.2,11.4,84,1.4,4,5,SSW,0.0,1024.1,1
