,Temp°C,AppTemp°C,DewPoint°C,RelHum%,Delta-T°C,Dir,Spdkm/h,Gustkm/h,Spdkts,Gustkts,PressQNHhPa,PressMSLhPa,Rain since9ammm
"('Date/TimeEST',)",,,,,,,,,,,,,
2021-06-30 15:30:00,15.6,14.1,13.1,85,1.4,ENE,13,15,7,8,1027.2,1027.2,0.0
2021-06-30 15:00:00,15.7,14.5,12.8,83,1.6,ENE,11,15,6,8,1027.4,1027.4,0.0
2021-06-30 14:30:00,15.9,14.8,13.0,83,1.6,ENE,11,13,6,7,1027.4,1027.4,0.0
2021-06-30 14:00:00,15.3,14.7,12.4,83,1.6,N,7,11,4,6,1027.7,1027.7,0.0
2021-06-30 13:30:00,15.2,13.9,12.5,84,1.5,NNE,11,15,6,8,1028.0,1028.0,0.0
2021-06-30 13:00:00,15.0,14.3,12.1,83,1.6,N,7,11,4,6,1028.5,1028.5,0.0
2021-06-30 12:30:00,15.0,14.4,12.3,84,1.5,NNW,7,11,4,6,1029.1,1029.1,0.0
2021-06-30 12:00:00,15.4,14.6,11.8,79,1.9,NNE,7,11,4,6,1029.6,1029.6,0.0
2021-06-30 11:30:00,15.4,15.0,12.5,83,1.6,N,6,7,3,4,1030.1,1030.1,0.0
2021-06-30 11:00:00,15.4,14.5,12.7,84,1.5,NNE,9,13,5,7,1030.7,1030.7,0.0
2021-06-30 10:30:00,14.5,13.4,11.8,84,1.5,NNW,9,11,5,6,1030.9,1030.9,0.0
2021-06-30 10:00:00,14.2,13.7,12.1,87,1.1,N,6,7,3,4,1031.1,1031.1,0.0
2021-06-30 09:30:00,14.0,13.5,11.9,87,1.1,N,6,6,3,3,1031.1,1031.1,0.0
2021-06-30 09:00:00,14.2,13.6,12.4,89,1.0,NW,7,9,4,5,1031.3,1031.4,1.2
2021-06-30 08:30:00,14.3,14.0,12.7,90,0.9,NW,6,9,3,5,1031.3,1031.4,1.2
2021-06-30 08:00:00,13.5,13.1,12.4,93,0.6,NW,6,7,3,4,1031.2,1031.3,1.2
2021-06-30 07:30:00,13.2,12.5,12.1,93,0.6,N,7,9,4,5,1031.2,1031.3,1.2
2021-06-30 07:00:00,12.9,12.4,12.0,94,0.5,NNW,6,7,3,4,1031.0,1031.0,1.2
2021-06-30 06:30:00,12.6,12.0,11.7,94,0.5,NW,6,7,3,4,1031.0,1031.0,1.2
2021-06-30 06:00:00,12.6,12.0,11.7,94,0.5,NW,6,7,3,4,1030.8,1030.8,1.2
2021-06-30 05:30:00,12.4,11.5,11.5,94,0.5,WNW,7,9,4,5,1030.8,1030.8,1.2
2021-06-30 05:00:00,12.5,11.7,11.6,94,0.5,WNW,7,7,4,4,1030.8,1030.8,1.2
2021-06-30 04:30:00,12.7,11.9,11.8,94,0.5,WNW,7,9,4,5,1030.8,1030.8,1.2
2021-06-30 04:00:00,12.8,11.7,12.0,95,0.4,NW,9,11,5,6,1030.9,1030.9,1.2
2021-06-30 03:30:00,12.8,11.0,12.0,95,0.4,NW,13,15,7,8,1031.2,1031.3,1.2
2021-06-30 03:00:00,13.0,9.4,11.7,92,0.7,WNW,22,28,12,15,1031.5,1031.6,1.2
2021-06-30 02:30:00,13.5,12.1,12.1,91,0.8,WNW,11,13,6,7,1031.7,1031.8,1.2
2021-06-30 02:00:00,13.1,11.9,11.7,91,0.7,W,9,11,5,6,1031.8,1031.9,1.2
2021-06-30 01:30:00,13.2,12.4,11.6,90,0.9,WNW,7,9,4,5,1032.1,1032.2,1.2
2021-06-30 01:00:00,13.4,12.7,12.0,91,0.7,NW,7,9,4,5,1032.3,1032.4,1.2
2021-06-30 00:30:00,13.3,12.6,12.0,92,0.7,WNW,7,11,4,6,1032.5,1032.5,1.2
2021-06-30 00:00:00,13.1,12.6,12.0,93,0.6,WNW,6,9,3,5,1032.7,1032.7,1.2
,,,,,,,,,,,,,
